"season","player_id","player","franchise_id","team","WAA","position","total_snaps"
2014,41450,"A'Lique Terry",339,"NCWF",-0.058,"C",449
2014,10680,"A'Shawn Robinson",103,"ALUN",0.195,"DI",542
2014,14876,"A.J. Barnaby",237,"MDNA",-0.004,"DI",8
2014,9500,"A.J. Cann",289,"SCUN",0.117,"G",946
2014,9635,"A.J. Derby",111,"ARUN",0.157,"TE",379
2014,18567,"A.J. Erdely",224,"TNMI",-0.002,"QB",10
2014,38383,"A.J. Greathouse",130,"CAUN",-0.013,"CB",58
2014,21302,"A.J. Hilliard",312,"TXAM",-0.004,"LB",29
2014,49046,"A.J. Howard",108,"NCAP",-0.03,"S",623
2014,50114,"A.J. Jefferson",227,"MSST",0.081,"ED",385
2014,19849,"A.J. Jordan",349,"WIUN",-0.005,"S",5
2014,23988,"A.J. Justice",287,"TXMU",-0.085,"S",184
2014,12386,"A.J. Kaplan",175,"GAST",-0.122,"T",832
2014,23136,"A.J. Leggett",214,"WVMA",0.196,"S",721
2014,48812,"A.J. Logan",229,"MOUN",-0.004,"DI",10
2014,51146,"A.J. Moore",226,"MSUN",0.02,"CB",114
2014,48509,"A.J. Natter",238,"NEUN",-0.004,"ED",28
2014,45974,"A.J. Ouellette",259,"OHUN",-0.044,"HB",441
2014,17720,"A.J. Ruechel",101,"COAF",0.059,"T",994
2014,26844,"A.J. Samataua",285,"CASJ",0,"G",206
2014,19879,"A.J. Schurr",114,"NYWP",-0.118,"QB",144
2014,18892,"A.J. Smith",251,"TXNO",0.002,"LB",45
2014,11068,"A.J. Stamps",202,"KYUN",0.085,"S",816
2014,9738,"A.J. Tarpley",300,"CAST",0.331,"LB",772
2014,18581,"A.J. Williams",222,"MIUN",-0.048,"TE",367
2014,48893,"A.J. Wolf",154,"NCDU",-0.112,"DI",252
2014,18920,"A.K. Akpunku",237,"MDNA",-0.013,"DI",45
2014,12208,"Aarion Penton",229,"MOUN",0.09,"CB",719
2014,39138,"Aaron Bailey",187,"ILUN",-0.043,"QB",77
2014,50648,"Aaron Banks",122,"OHBG",-0.006,"LB",47
2014,18450,"Aaron Bennett",199,"KSST",-0.002,"T",43
2014,17462,"Aaron Boesch",284,"CASS",-0.004,"TE",5
2014,15002,"Aaron Bradley",259,"OHUN",-0.049,"WR",223
2014,31547,"Aaron Brown",138,"OHCI",-0.008,"CB",164
2014,48654,"Aaron Brown",208,"LATC",-0.067,"DI",346
2014,16865,"Aaron Bryant",319,"LATU",-0.004,"ED",6
2014,10847,"Aaron Burbridge",223,"MIST",0.03,"WR",425
2014,30658,"Aaron Chapman",340,"WAUN",0,"ST",0
2014,28151,"Aaron Cochran",130,"CAUN",-0.004,"T",35
2014,12982,"Aaron Davis",144,"COST",-0.048,"LB",835
2014,14803,"Aaron Davis",237,"MDNA",-0.075,"DI",176
2014,49089,"Aaron Davis",173,"GAUN",0.134,"CB",671
2014,28771,"Aaron Del Grosso",190,"INUN",0,"K",0
2014,11363,"Aaron Epps",210,"KYLO",-0.026,"T",484
2014,46350,"Aaron Evans",323,"FLCE",-0.005,"T",217
2014,15078,"Aaron Franklin",261,"OKUN",-0.003,"LB",90
2014,27871,"Aaron Garrison",115,"ALAU",-0.004,"DI",7
2014,11186,"Aaron Green",305,"TXCU",0.204,"HB",458
2014,17024,"Aaron Grubb",331,"TXSN",-0.072,"WR",305
2014,39178,"Aaron Hepp",117,"INBS",-0.007,"WR",120
2014,21868,"Aaron Howard",143,"COUN",0,"ST",0
2014,46868,"Aaron Jenkins",241,"NMUN",-0.004,"G",4
2014,11937,"Aaron Jones",330,"TXEP",-0.004,"HB",486
2014,24332,"Aaron Kemper",114,"NYWP",0.002,"HB",69
2014,17656,"Aaron Krah",108,"NCAP",-0.003,"CB",19
2014,14156,"Aaron Kramer",121,"MABC",-0.015,"G",892
2014,37890,"Aaron Macer",259,"OHUN",-0.023,"S",84
2014,38868,"Aaron Medley",307,"TNUN",0,"K",0
2014,27602,"Aaron Minor",326,"CASC",-0.004,"WR",7
2014,16958,"Aaron Morris",226,"MSUN",-0.097,"G",643
2014,18017,"Aaron Nielsen",166,"FLIN",-0.045,"T",651
2014,12115,"Aaron Peck",169,"CAFR",-0.186,"WR",654
2014,9639,"Aaron Ripkowski",261,"OKUN",0.069,"FB",472
2014,19444,"Aaron Shaw",314,"TXSW",-0.051,"S",587
2014,18943,"Aaron Stafford",287,"TXMU",-0.014,"WR",57
2014,12198,"Aaron Taylor",117,"INBS",0.078,"CB",589
2014,10856,"Aaron Wallace",324,"CALA",0.04,"ED",217
2014,14445,"Aaron Wimberly",193,"IAST",-0.125,"HB",580
2014,49568,"Aaron Young",263,"VAOD",-0.033,"CB",143
2014,12313,"Abner Logan",215,"MDUN",0,"LB",19
2014,26989,"Abraham Mendivil",109,"AZUN",-0.004,"HB",16
2014,46721,"Abram Holland",242,"NMST",0.033,"G",358
2014,21273,"Abu Lamin",289,"SCUN",-0.04,"DI",146
2014,11129,"Adairius Barnes",208,"LATC",0.203,"CB",843
2014,11955,"Adam Bisnowaty",268,"PAPT",0.135,"T",729
2014,17226,"Adam Brown",223,"MIST",-0.005,"G",21
2014,12214,"Adam Butler",333,"TNVA",0.076,"DI",573
2014,25241,"Adam Centers",339,"NCWF",0,"K",0
2014,46003,"Adam Choice",140,"SCCL",-0.001,"HB",134
2014,13636,"Adam DeCosta",169,"CAFR",-0.003,"ED",12
2014,23187,"Adam DePietro",256,"ILNW",-0.011,"G",82
2014,13760,"Adam Erickson",173,"GAUN",-0.009,"P",0
2014,10697,"Adam Gotsis",176,"GATC",-0.089,"DI",825
2014,22512,"Adam Griffith",103,"ALUN",-0.004,"K",0
2014,17031,"Adam Hine",128,"UTBY",-0.015,"HB",163
2014,10075,"Adam Humphries",140,"SCCL",-0.16,"WR",570
2014,29508,"Adam Khouri",239,"NVRE",-0.006,"G",324
2014,24387,"Adam Kinder",351,"WYUN",-0.004,"ED",8
2014,47361,"Adam Kulon",316,"OHTO",-0.003,"DI",49
2014,27604,"Adam Lane",163,"FLUN",-0.012,"HB",42
2014,14982,"Adam Lazenga",268,"PAPT",-0.004,"FB",35
2014,22260,"Adam Mcfain",111,"ARUN",-0.004,"K",0
2014,12114,"Adam Pankey",343,"WVUN",-0.106,"T",1110
2014,14225,"Adam Redden",126,"NYBU",0.11,"CB",727
2014,13365,"Adam Roberts",284,"CASS",0.063,"TE",429
2014,38551,"Adam Schulz",328,"UTUN",-0.001,"QB",13
2014,30190,"Adam Searl",324,"CALA",-0.005,"P",0
2014,12779,"Adam Shapiro",242,"NMST",-0.139,"WR",538
2014,14997,"Adam Shead",261,"OKUN",0.146,"G",763
2014,23245,"Adam Stickel",224,"TNMI",-0.001,"G",307
2014,29639,"Adam Vaught",263,"VAOD",0,"LS",0
2014,15265,"Adam Waheed",287,"TXMU",0,"ST",0
2014,14499,"Adam Weber",199,"KSST",-0.005,"FB",30
2014,23236,"Adam West",237,"MDNA",-0.004,"G",9
2014,15229,"Adam Williams",296,"MSSO",-0.043,"DI",585
2014,18232,"Adarius Rayner",190,"INUN",-0.097,"DI",388
2014,49526,"Adaryan Jones",242,"NMST",-0.134,"CB",337
2014,49784,"Addison Gillam",143,"COUN",-0.054,"LB",540
2014,15693,"Addison Holstein",114,"NYWP",-0.002,"LB",53
2014,48606,"Ade Aruna",319,"LATU",-0.006,"ED",106
2014,10714,"Adolphus Washington",260,"OHST",0.205,"DI",772
2014,51555,"Adonis Ameen-Moore",304,"NYSY",0.034,"HB",169
2014,47991,"Adonis Jennings",268,"PAPT",-0.007,"WR",126
2014,13191,"Adonis Smith",109,"AZUN",-0.005,"HB",10
2014,11773,"Adoree' Jackson",326,"CASC",0.433,"CB",737
2014,9575,"Adrian Amos",266,"PAST",0.36,"S",847
2014,27530,"Adrian Baker",140,"SCCL",-0.001,"CB",47
2014,11367,"Adrian Bellard",314,"TXSW",0.061,"T",914
2014,12923,"Adrian Blake",285,"CASJ",-0.22,"ED",474
2014,11983,"Adrian Colbert",311,"TXUN",-0.006,"S",323
2014,13272,"Adrian Flemming",304,"NYSY",-0.118,"WR",426
2014,17310,"Adrian Gardner",176,"GATC",-0.004,"DI",6
2014,38673,"Adrian Henderson",218,"TNMS",-0.058,"WR",308
2014,15393,"Adrian James",330,"TXEP",-0.139,"CB",647
2014,23743,"Adrian Jones",275,"TXRI",-0.001,"S",3
2014,10995,"Adrian McDonald",182,"TXHO",0.209,"S",903
2014,27035,"Adrian Robinson",144,"COST",-0.004,"DI",20
2014,46728,"Adrian Sullivan",306,"PATE",-0.004,"G",49
2014,20427,"Adrian Witty",138,"OHCI",-0.004,"CB",51
2014,38899,"Adrien Dunn",140,"SCCL",-0.002,"WR",36
2014,45850,"Aeris Williams",227,"MSST",-0.003,"CB",3
2014,46642,"Aharown Campbell",206,"VALB",-0.003,"T",46
2014,11821,"Ahkello Witherspoon",143,"COUN",0.04,"CB",152
2014,44791,"Ahki Muhammad",239,"NVRE",-0.003,"S",19
2014,47720,"Ahmaad Harris",324,"CALA",0.002,"WR",19
2014,12220,"Ahmad Fulwood",163,"FLUN",-0.086,"WR",388
2014,49204,"Ahmad Thomas",261,"OKUN",-0.095,"S",892
2014,50825,"Aiavion Edwards",118,"TXBA",0.047,"LB",309
2014,16489,"Aidan Conlon",254,"ILNO",0.196,"G",1034
2014,38415,"Aidan McNamara",349,"WIUN",-0.003,"C",18
2014,23405,"Aidan Schneider",264,"ORUN",0,"K",0
2014,45606,"Ainuu Taua",324,"CALA",-0.006,"TE",15
2014,51019,"Airius Moore",248,"NCST",0.056,"LB",339
2014,38375,"Aisea Tongilava",130,"CAUN",0.014,"LB",61
2014,48894,"Aiulua Fanene",109,"AZUN",-0.007,"DI",22
2014,31940,"AJ Addison",214,"WVMA",-0.004,"T",124
2014,38322,"AJ Long",304,"NYSY",-0.146,"QB",349
2014,21731,"AJ Moore",128,"UTBY",-0.004,"HB",16
2014,49304,"AJ Pearson",222,"MIUN",-0.004,"S",8
2014,17233,"AJ Troup",223,"MIST",-0.014,"WR",114
2014,28629,"Ajahne Brager",199,"KSST",-0.005,"T",50
2014,47699,"Ajalen Holley",209,"LANE",-0.15,"WR",888
2014,23927,"Ajee Montes",287,"TXMU",-0.111,"CB",413
2014,45206,"Ajene Harris",326,"CASC",-0.01,"WR",86
2014,45978,"Akeel Lynch",266,"PAST",-0.279,"HB",412
2014,12579,"Akeem Daniels",254,"ILNO",0.02,"HB",282
2014,9839,"Akeem Hunt",273,"INPU",-0.156,"HB",617
2014,9682,"Akeem King",285,"CASJ",0.02,"S",752
2014,20461,"Akeem Lewis",288,"ALSO",-0.052,"ED",388
2014,18093,"Akil Dan-Fodio",166,"FLIN",-0.055,"TE",347
2014,23359,"Akil Hawkins",175,"GAST",0.002,"G",209
2014,28564,"Akrum Wadley",192,"IAUN",-0.031,"HB",55
2014,12332,"Al-Damion Riles",207,"LASW",-0.043,"WR",382
2014,51009,"Al-Rasheed Benton",343,"WVUN",-0.022,"LB",39
2014,9750,"Al Bond",218,"TNMS",0.043,"T",972
2014,12478,"Al Harris Jr.",289,"SCUN",-0.148,"CB",397
2014,19466,"Al Leneus",216,"MAUN",-0.005,"DI",10
2014,10931,"Alan Cross",218,"TNMS",0.164,"TE",779
2014,15325,"Alan Howze",296,"MSSO",-0.078,"LB",680
2014,26357,"Alan Knott",289,"SCUN",-0.069,"C",681
2014,26903,"Alan Lucy",278,"NJRU",0,"LS",0
2014,13928,"Alan Turner",111,"ARUN",-0.152,"S",738
2014,14023,"Alan Wright",113,"ARST",0.056,"G",1002
2014,9798,"Alani Fua",128,"UTBY",-0.015,"ED",598
2014,50134,"Alani Latu",110,"AZST",0.005,"LB",46
2014,22082,"Albert Hall",266,"PAST",-0.005,"T",30
2014,18534,"Albert Phillips",221,"OHMI",-0.011,"ED",36
2014,18202,"Albert Reid",215,"MDUN",-0.009,"HB",56
2014,49430,"Albert Smalls",254,"ILNO",-0.006,"CB",467
2014,47202,"Alec Bloom",146,"CTUN",0.013,"TE",118
2014,47134,"Alec Dhaenens",120,"IDBO",-0.05,"FB",219
2014,48941,"Alec James",349,"WIUN",-0.046,"DI",260
2014,46578,"Alec Morris",103,"ALUN",-0.004,"QB",14
2014,24151,"Alec Moulton",347,"MIWE",-0.017,"WR",71
2014,47115,"Alec Osborne",209,"LANE",-0.074,"TE",483
2014,15592,"Alec Vozenilek",335,"VAUN",-0.013,"K",0
2014,24662,"Aleem Sunanon",288,"ALSO",0,"K",0
2014,38361,"Alejandro Crosthwaite",130,"CAUN",-0.022,"G",966
2014,13855,"Alex Acey",108,"NCAP",0.01,"G",326
2014,11831,"Alex Anzalone",163,"FLUN",0,"LB",107
2014,50212,"Alex Aukerman",114,"NYWP",0,"ST",0
2014,11268,"Alex Balducci",264,"ORUN",-0.187,"DI",651
2014,24156,"Alex Bales",245,"NCUN",-0.013,"ED",30
2014,18585,"Alex Barr",248,"NCST",0.04,"G",582
2014,12183,"Alex Barrett",284,"CASS",0.052,"DI",508
2014,50718,"Alex Bertrando",239,"NVRE",-0.003,"LB",5
2014,12381,"Alex Bisch",225,"MNUN",-0.004,"TE",24
2014,15678,"Alex Borgs",351,"WYUN",-0.01,"LB",20
2014,23391,"Alex Boy",239,"NVRE",-0.003,"P",0
2014,9513,"Alex Carter",300,"CAST",0.065,"CB",812
2014,28880,"Alex Cheramie",211,"LAST",-0.004,"G",2
2014,11478,"Alex Chisum",138,"OHCI",0.045,"WR",308
2014,10805,"Alex Collins",111,"ARUN",0.025,"HB",355
2014,11105,"Alex Cooper",182,"TXHO",0.054,"T",944
2014,23210,"Alex Dale",224,"TNMI",0.004,"CB",59
2014,19585,"Alex De La Torre",311,"TXUN",-0.002,"FB",108
2014,14344,"Alex Deleon",165,"FLAT",0.111,"TE",684
2014,19608,"Alex Dixon",245,"NCUN",-0.008,"CB",37
2014,11326,"Alex Ellis",307,"TNUN",-0.044,"TE",223
2014,11107,"Alex Erickson",349,"WIUN",0.106,"WR",820
2014,11040,"Alex Fifita",169,"CAFR",0.05,"T",1113
2014,45603,"Alex Gall",220,"FLMI",-0.002,"C",41
2014,28346,"Alex Gardner",166,"FLIN",-0.132,"HB",324
2014,13488,"Alex Goode",140,"SCCL",-0.007,"HB",12
2014,49250,"Alex Gray",108,"NCAP",0,"S",215
2014,18469,"Alex Hanks",174,"GASO",-0.004,"K",0
2014,17651,"Alex Hansen",101,"COAF",0.289,"DI",646
2014,22039,"Alex Hayes",304,"NYSY",-0.003,"G",72
2014,14477,"Alex Hill",187,"ILUN",-0.022,"G",576
2014,18094,"Alex Howell",121,"MABC",-0.015,"K",0
2014,17236,"Alex Huettel",122,"OHBG",0.071,"G",1128
2014,51182,"Alex Johnson",209,"LANE",-0.002,"LB",3
2014,16495,"Alex Keith",225,"MNUN",-0.007,"ED",182
2014,21950,"Alex Kelley",143,"COUN",-0.07,"C",1026
2014,15424,"Alex Kenney",216,"MAUN",-0.034,"WR",173
2014,10764,"Alex Lewis",238,"NEUN",0.019,"T",912
2014,31623,"Alex Louthan",242,"NMST",-0.004,"K",0
