"","data.player","data.previous_school","data.hometown","data.height","data.weight","data.rating","data.nat","data.pos","data.st","data.status","data.position","data.team","data.team_id","data.player_id","season"
"1","Nick Underwood","Lake Oswego","Lake Oswego, OR, US","603","210","0.7667","NA","186","12","Signed","LB","Air Force",101,NA,2014
"2","Landon Galloway","Plant City","Plant City, FL, US","603","200","0.7598","NA","143","411","Signed","TE","Air Force",101,NA,2014
"3","Mitch McCulley","Chandler","Chandler, AZ, US","601","175","0.7531","NA","400","73","Signed","WR","Air Force",101,NA,2014
"4","Keenan Curran","Federal Way","Federal Way, WA, US","602","180","0.8283","NA","109","13","Commit","S","Air Force",101,NA,2014
"5","Chandler Hawkins","St. John Bosco","Bellflower, CA, US","511","180","0.8161","NA","115","151","Commit","CB","Air Force",101,NA,2014
"6","Emmanuel Soto","University School","Fort Lauderdale, FL, US","601","170","0.8115","NA","205","224","Commit","WR","Air Force",101,NA,2014
"7","Matthew Jacques","Crespi","Encino, CA, US","603","220","0.7917","NA","94","179","Commit","ED","Air Force",101,NA,2014
"8","Matt Guida","Queen Creek","Queen Creek, AZ, US","600","200","0.7864","NA","126","37","Commit","HB","Air Force",101,NA,2014
"9","Cole Hansen","Derby","Derby, KS, US","604","280","0.7791","NA","122","17","Commit","G","Air Force",101,NA,2014
"10","Boadie Matts","Sandalwood","Jacksonville, FL, US","600","232","0.7724","NA","13","354","Commit","FB","Air Force",101,NA,2014
"11","John Oliver","Etowah","Woodstock, GA, US","603","205","0.7692","NA","66","216","Commit","QB","Air Force",101,NA,2014
"12","Matt Lawler","Ramona","Ramona, CA, US","606","220","0.7683","NA","124","234","Commit","TE","Air Force",101,NA,2014
"13","Hayden Owen","Pepperell","Lindale, GA, US","603","280","0.7683","NA","137","218","Commit","G","Air Force",101,NA,2014
"14","Nick Colson","Higley","Gilbert, AZ, US","604","225","0.7683","NA","126","43","Commit","TE","Air Force",101,NA,2014
"15","Nasiir Edwards","Arabia Mountain","Lithonia, GA, US","508","190","0.7657","NA","244","235","Commit","CB","Air Force",101,NA,2014
"16","Andrew Smith","North Hall","Gainesville, GA, US","509","160","0.7653","NA","219","237","Commit","WR","Air Force",101,37421,2014
