,data.player,data.previous_school,data.hometown,data.height,data.weight,data.rating,data.nat,data.pos,data.st,data.status,data.position,data.team,data.team_id,data.player_id,season
1,Kaiser Cambra-Cho,St Louis School,"Honolulu, HI, US",602,195,0.811,NA,191,25,Enrolled,S,Air Force,101,NA,2020
2,AJ Jefferson,Indian Land,"Fort Mill, SC, US",510,175,NA,NA,NA,NA,Enrolled,CB,Air Force,101,131514,2020
3,Ryan Ives,Manatee,"Bradenton, FL, US",603,240,0.8299,NA,95,246,Signed,ED,Air Force,101,NA,2020
4,Olawale Familoni,Canyon,"Anaheim, CA, US",604,210,0.8198,NA,111,190,Signed,ED,Air Force,101,NA,2020
5,Matt Malloy,Notre Dame Preparatory,"Scottsdale, AZ, US",602,215,0.7396,NA,250,88,Signed,LB,Air Force,101,NA,2020
6,Blake Burris,Parish Episcopal School,"Dallas, TX, US",603.5,262,0.853,NA,50,123,Commit,ED,Air Force,101,NA,2020
7,Wesley Ndago,Midway,"Waco, TX, US",602,295,0.841,NA,26,185,Commit,C,Air Force,101,NA,2020
8,Adam Karas,Pomona,"Arvada, CO, US",605,272,0.8315,NA,138,10,Commit,T,Air Force,101,NA,2020
9,Lincoln Tuioti-Mariner,Bishop Gorman,"Las Vegas, NV, US",601,203,0.8305,NA,134,9,Commit,S,Air Force,101,NA,2020
10,Jalen Hodo,Poteet,"Mesquite, TX, US",600,175,0.8299,NA,135,243,Commit,S,Air Force,101,NA,2020
11,Alec Mock,Weddington,"Matthews, NC, US",603,230,0.8198,NA,87,74,Commit,LB,Air Force,101,125275,2020
12,Cameron Everts,Lampasas,"Lampasas, TX, US",600,174,0.8098,NA,334,320,Commit,WR,Air Force,101,NA,2020
13,Jayden Thiergood,Marian Central Catholic,"Woodstock, IL, US",603,258,0.8064,NA,131,47,Commit,ED,Air Force,101,132969,2020
14,Matthew Aribisala,Cedar Hill,"Cedar Hill, TX, US",602,229,0.8053,NA,132,328,Commit,ED,Air Force,101,NA,2020
15,Sam Petersen,Tahoma Senior,"Maple Valley, WA, US",603,257,0.8053,NA,133,44,Commit,ED,Air Force,101,NA,2020
16,Osaro Aihie,San Leandro,"San Leandro, CA, US",511,222,0.7998,NA,129,274,Commit,LB,Air Force,101,NA,2020
17,Seth Meador,Guyer,"Denton, TX, US",510,170,0.7998,NA,378,346,Commit,WR,Air Force,101,133207,2020
18,Halatoa Tai,Liberty,"Henderson, NV, US",601,195,0.7998,NA,216,20,Commit,S,Air Force,101,NA,2020
19,Fabrizio Pinton,The Woodlands,"The Woodlands, TX, US",603,200,0.7997,NA,11,352,Commit,K,Air Force,101,NA,2020
20,Cole Palmer,The Classical Academy,"Pike Ntl Forest, CO, US",604,220,0.797,NA,235,26,Commit,WR,Air Force,101,NA,2020
21,Conner Wnek,Kimberly,"Kimberly, WI, US",604,180,0.7902,NA,416,33,Commit,WR,Air Force,101,NA,2020
22,Jack Parker,Creekview,"Carrollton, TX, US",603,260,0.7897,NA,209,370,Commit,G,Air Force,101,NA,2020
23,Jacob Martin,Lewis-Palmer,"Monument, CO, US",601.5,188,0.7897,NA,430,27,Commit,WR,Air Force,101,NA,2020
24,Matthew Heitmann,Dakota Ridge,"Littleton, CO, US",604,262,0.7897,NA,256,28,Commit,T,Air Force,101,NA,2020
25,Jamari Bellamy,McEachern,"Powder Springs, GA, US",601,172,0.7897,NA,240,273,Commit,S,Air Force,101,NA,2020
26,Zach Slail,Southridge,"Beaverton, OR, US",604,255,0.7897,NA,217,40,Commit,DI,Air Force,101,NA,2020
27,Dorian Maynard,Morton Ranch,"Katy, TX, US",601,180,0.7897,NA,278,375,Commit,CB,Air Force,101,NA,2020
28,Holden Brosnan,Cathedral Catholic,"San Diego, CA, US",604,275,0.7889,NA,264,371,Commit,T,Air Force,101,NA,2020
29,Costen Cooley,Red Mountain,"Mesa, AZ, US",603,285,0.7831,NA,62,81,Commit,C,Air Force,101,NA,2020
30,Payton Zdroik,Liberty,"Brentwood, CA, US",600,264,0.7831,NA,277,381,Commit,WR,Air Force,101,NA,2020
31,Jordan Jenkins,Elkins,"Missouri City, TX, US",600,190,0.7797,NA,259,385,Commit,S,Air Force,101,NA,2020
32,Billy Johnson,Middleton,"Middleton, WI, US",603,285,0.7741,NA,236,39,Commit,DI,Air Force,101,NA,2020
33,Owen Burk,Allendale,"Allendale, MI, US",511,200,0.7741,NA,234,74,Commit,HB,Air Force,101,131511,2020
34,Alex Morrison,Saline,"Saline, MI, US",600,210,0.7497,NA,245,85,Commit,LB,Air Force,101,NA,2020
35,Taurean Muhammad,Tompkins,"Katy, TX, US",509.5,166,NA,NA,NA,NA,Commit,WR,Air Force,101,NA,2020
36,Kyle Niese,Avon,"Avon, IN, US",603,278,NA,NA,NA,NA,Commit,G,Air Force,101,NA,2020
37,Nate Dyman,Westbury Christian School,"Houston, TX, US",601.5,219,NA,NA,NA,NA,Commit,LB,Air Force,101,133208,2020
38,William White,Hebron,"Carrollton, TX, US",600,180,NA,NA,NA,NA,Commit,S,Air Force,101,NA,2020
39,Jerome Gaillard,Copperas Cove,"Copperas Cove, TX, US",603,175,NA,NA,NA,NA,Commit,CB,Air Force,101,NA,2020
40,Wyatt Wilson,Old Avon Farms Prep,"Avon, CT, US",602,185,NA,NA,NA,NA,Commit,WR,Air Force,101,133199,2020
41,Trevon Williams,Loganville,"Loganville, GA, US",510,170,NA,NA,NA,NA,Commit,CB,Air Force,101,NA,2020
42,Grayson Cook,Belfry,"Belfry, KY, US",602,175,NA,NA,NA,NA,Commit,LB,Air Force,101,NA,2020
43,Hunter Brown,Barbe,"Lake Charles, LA, US",602,275,NA,NA,NA,NA,Commit,G,Air Force,101,NA,2020
44,Patrick Dahlen,Cherokee,"Canton, GA, US",602,184,NA,NA,NA,NA,Commit,CB,Air Force,101,133200,2020
45,Parker Wroble,Mill Creek,"Hoschton, GA, US",510,170,NA,NA,NA,NA,Commit,WR,Air Force,101,NA,2020
46,Brandon Engel,Lake Dallas,"Lake Dallas, TX, US",602,191,NA,NA,NA,NA,Commit,WR,Air Force,101,NA,2020
47,Isiah Childs,Wamego,"Wamego, KS, US",603,205,0.8281,NA,124,16,Enrolled,LB,Akron,102,130284,2020
48,Janirr Wade,Stephenson,"Stone Mountain, GA, US",603,235,0.8247,NA,103,179,Enrolled,ED,Akron,102,130320,2020
49,Juan Jarrett,Princeton,"Cincinnati, OH, US",602,190,0.816,NA,148,82,Enrolled,LB,Akron,102,75381,2020
50,MyJaden Horton,Lakota West,"West Chester, OH, US",602,186,0.8159,NA,46,85,Enrolled,QB,Akron,102,130296,2020
51,Joey Marousek,North Royalton,"North Royalton, OH, US",602,201,0.8052,NA,64,98,Enrolled,QB,Akron,102,130303,2020
52,Ronan Chambers,St. Edward,"Lakewood, OH, US",606,270,0.8052,NA,213,99,Enrolled,T,Akron,102,130283,2020
53,Brycen Yarmo,Coffeyville C.C.,"Coffeyville, KS, US",606,257,0.8046,277,17,77,Enrolled,TE,Akron,102,130325,2020
54,DiMarco Johnson,Dutch Fork,"Irmo, SC, US",601,190,0.8044,NA,205,67,Enrolled,S,Akron,102,130299,2020
55,Jonzell Norrils,Central Catholic,"Toledo, OH, US",600,200,0.803,NA,174,103,Enrolled,HB,Akron,102,130308,2020
56,Ronald Jackson,Belleville,"Belleville, MI, US",600,185,0.8003,NA,210,61,Enrolled,S,Akron,102,NA,2020
57,Ryan McClain,Garden City C.C.,"Garden City, KS, US",603,225,0.7999,302,14,80,Enrolled,LB,Akron,102,130306,2020
58,Michael Snowden,University Prep,"Pittsburgh, PA, US",601,195,0.7958,NA,224,46,Enrolled,S,Akron,102,130318,2020
59,Deacon Allen,Rockmart,"Rockmart, GA, US",603,305,0.7956,NA,193,261,Enrolled,G,Akron,102,130276,2020
60,Tobias Thomas,Dublin Scioto,"Dublin, OH, US",600,180,0.7897,NA,272,117,Enrolled,CB,Akron,102,NA,2020
61,Tristian Brank,Clyde A Erwin,"Asheville, NC, US",604,220,0.7896,NA,149,106,Enrolled,TE,Akron,102,130281,2020
62,Nate Williams,Newark Catholic,"Newark, OH, US",606,300,0.7868,NA,265,126,Enrolled,T,Akron,102,130322,2020
63,Charles Amankwaa,Monroe College,"New Rochelle, NY, US",511,180,0.7839,341,55,10,Enrolled,CB,Akron,102,130277,2020
64,Tony Georges,St. Ignatius,"Cleveland, OH, US",602,290,0.7827,NA,215,127,Enrolled,G,Akron,102,130291,2020
65,George Qualls,Butler C.C.,"El Dorado, KS, US",603,190,NA,NA,NA,NA,Enrolled,WR,Akron,102,NA,2020
66,Woobendy Guerrier,Butler C.C.,"El Dorado, KS, US",600,190,0.8195,211,31,60,Signed,CB,Akron,102,130293,2020
67,S.L. McCall,Iowa Western,"COUNCIL BLUFFS, IA, US",602,210,0.8156,220,11,19,Signed,LB,Akron,102,NA,2020
68,Teon Dollard,Independence C.C.,"Independence, KS, US",600,215,0.8113,233,14,64,Signed,HB,Akron,102,78603,2020
69,Chukwudifu Ogbonna,Hutchinson C.C.,"Hutchinson, KS, US",602,172,0.8101,240,17,66,Signed,S,Akron,102,63065,2020
70,Konata Mumpfield,Dacula,"Dacula, GA, US",600,175,0.8051,NA,207,243,Signed,WR,Akron,102,NA,2020
71,Nazir Sy,Butler C.C.,"El Dorado, KS, US",602,326,0.7999,301,29,79,Signed,DI,Akron,102,82478,2020
72,Ryan Jankowski,Vero Beach,"Vero Beach, FL, US",602,190,NA,NA,NA,NA,Signed,QB,Akron,102,NA,2020
73,Jaquan Green,Fort Scott C.C.,"Fort Scott, KS, US",603,265,0.79,328,32,86,Commit,ED,Akron,102,NA,2020
74,Kenny White,Garden City C.C.,"Garden City, KS, US",600,185,0.7694,384,30,91,Commit,S,Akron,102,NA,2020
75,Bryce Young,Mater Dei,"Santa Ana, CA, US",511,183,0.9994,2,1,1,Enrolled,QB,Alabama,103,123943,2020
76,Will Anderson,Dutchtown,"Hampton, GA, US",603,230,0.9913,17,1,4,Enrolled,ED,Alabama,103,NA,2020
77,Chris Braswell,St. Frances Academy,"Baltimore, MD, US",603,220,0.9909,19,2,2,Enrolled,ED,Alabama,103,123908,2020
78,Drew Sanders,Ryan,"Denton, TX, US",605,232,0.9896,22,1,3,Enrolled,WR,Alabama,103,123933,2020
79,Demouy Kennedy,Theodore,"Theodore, AL, US",603,215,0.9819,39,3,1,Enrolled,LB,Alabama,103,123923,2020
80,Jase McClellan,Aledo,"Aledo, TX, US",510.5,202,0.9755,47,6,6,Enrolled,HB,Alabama,103,123926,2020
81,Tim Smith,Sebastian River,"Sebastian, FL, US",604,320,0.9731,56,8,11,Enrolled,DI,Alabama,103,123935,2020
82,Brian Branch,Sandy Creek,"Tyrone, GA, US",511,185,0.9709,61,3,8,Enrolled,S,Alabama,103,123907,2020
83,Quandarrius Robinson,Jackson-Olin,"Birmingham, AL, US",605,217,0.9703,65,6,2,Enrolled,LB,Alabama,103,123932,2020
84,Roydell Williams,Hueytown,"Hueytown, AL, US",510,202,0.965,77,9,4,Enrolled,HB,Alabama,103,123939,2020
85,Thaiu Jones-Bell,Miami Carol City,"Opa Locka, FL, US",511,187,0.9358,144,25,22,Enrolled,WR,Alabama,103,123921,2020
86,Jackson Bratton,Muscle Shoals,"Muscle Shoals, AL, US",603,233,0.9318,155,10,5,Enrolled,LB,Alabama,103,123909,2020
87,Kristian Story,Lanett,"Lanett, AL, US",601,210,0.9246,185,5,7,Enrolled,WR,Alabama,103,123937,2020
88,Jah-Marien Latham,Pickens County,"Reform, AL, US",603,280,0.9215,198,18,8,Enrolled,DI,Alabama,103,123924,2020
89,Javon Baker,McEachern,"Powder Springs, GA, US",601,196,0.9214,200,34,20,Enrolled,WR,Alabama,103,123904,2020
90,Malachi Moore,Hewitt-Trussville,"Trussville, AL, US",600,180,0.9191,211,19,9,Enrolled,S,Alabama,103,123928,2020
91,Traeshon Holden,Narbonne,"Harbor City, CA, US",603,195,0.9132,235,42,22,Enrolled,WR,Alabama,103,123917,2020
92,Jahquez Robinson,Sandalwood,"Jacksonville, FL, US",601.5,190,0.9,296,21,50,Enrolled,CB,Alabama,103,123931,2020
93,Javion Cohen,Central,"Phenix City, AL, US",605,295,0.8951,333,25,16,Enrolled,T,Alabama,103,123911,2020
94,Jamil Burroughs,McEachern,"Powder Springs, GA, US",602,323,0.8934,347,34,34,Enrolled,DI,Alabama,103,123910,2020
95,Ronald Williams,Hutchinson C.C.,"Hutchinson, KS, US",602,188,0.8904,12,4,5,Enrolled,CB,Alabama,103,NA,2020
96,Damieon George,North Shore,"Houston, TX, US",606.5,348,0.8884,390,31,56,Enrolled,T,Alabama,103,NA,2020
97,Kyle Edwards,Destrehan,"Destrehan, LA, US",600,210,0.885,425,29,19,Enrolled,HB,Alabama,103,60325,2020
98,Kyle Edwards,Destrehan,"Destrehan, LA, US",600,210,0.885,425,29,19,Enrolled,HB,Alabama,103,123912,2020
99,Seth McLaughlin,Buford,"Buford, GA, US",604,270,0.8802,476,10,49,Enrolled,C,Alabama,103,123927,2020
100,Caden Clark,Archbishop Hoban,"Akron, OH, US",603.5,245,0.8784,494,20,11,Enrolled,TE,Alabama,103,NA,2020
101,Stan Ellis,Gaffney,"Gaffney, SC, US",600,180,0.854,989,145,14,Enrolled,WR,Appalachian State,108,122239,2020
102,Je'Mari Littlejohn,Gaffney,"Gaffney, SC, US",600,220,0.8498,NA,72,17,Enrolled,LB,Appalachian State,108,122246,2020
103,Tommy Wright,Southwest DeKalb,"Decatur, GA, US",600,170,0.8436,NA,94,134,Enrolled,WR,Appalachian State,108,122260,2020
104,Nathaniel Noel,Northwestern,"Miami, FL, US",510,170,0.8416,NA,82,181,Enrolled,HB,Appalachian State,108,NA,2020
105,Jamar Rucks,Lanier,"Buford, GA, US",602.5,255,0.8389,NA,78,146,Enrolled,ED,Appalachian State,108,122252,2020
106,Mike Smith,First Coast,"Jacksonville, FL, US",600,183,0.8376,NA,111,202,Enrolled,S,Appalachian State,108,122255,2020
