"","data.team","data.position","exp_waa","actual_waa","waa_oe","team_id","school","mascot","abbreviation","alt_name1","alt_name2","alt_name3","conference","division","color","alt_color","logo","logo_dark"
"1","Air Force","C",0.0512818970088853,0.484,0.432718102991115,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"2","Air Force","CB",0.0460466708153925,-0.297,-0.343046670815392,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"3","Air Force","DI",0.0168350242620652,-0.021,-0.0378350242620652,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"4","Air Force","ED",0.0669619592399111,0.041,-0.025961959239911,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"5","Air Force","G",0.0337970156130298,-0.064,-0.0977970156130298,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"6","Air Force","HB",0.0433024982602784,-0.109,-0.152302498260278,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"7","Air Force","LB",0.0994601341231451,-0.091,-0.190460134123145,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"8","Air Force","QB",0.0448951688726562,-0.000999999999999966,-0.0458951688726561,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"9","Air Force","S",0.0177313167685422,0.568,0.550268683231458,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"10","Air Force","TE",0.0395380261079642,0.061,0.0214619738920358,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"11","Air Force","WR",0.0817361852926266,0.157,0.0752638147073735,2005,"Air Force","Falcons","AFA",NA,"AFA","Air Force","Mountain West","Mountain","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png"
"12","Akron","C",0.00809812215426083,-0.029,-0.0370981221542608,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"13","Akron","CB",0.0877270401877997,0.383,0.2952729598122,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"14","Akron","DI",0.0626137607589452,-0.26,-0.322613760758945,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"15","Akron","ED",0.0752447558106777,-0.583,-0.658244755810678,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"16","Akron","G",0.0514746085789793,-0.102,-0.153474608578979,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"17","Akron","HB",0.120288121086399,-0.648,-0.768288121086399,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"18","Akron","LB",0.097892179375272,-0.223,-0.320892179375272,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"19","Akron","QB",0.0825995648571886,-0.615,-0.697599564857189,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"20","Akron","S",0.099702946841224,-0.128,-0.227702946841224,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"21","Akron","T",0.130064111503911,-0.844,-0.974064111503911,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"22","Akron","TE",0.0477455240785262,-0.111,-0.158745524078526,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"23","Akron","WR",0.138873663533263,-1.085,-1.22387366353326,2006,"Akron","Zips","AKR",NA,"AKR","Akron","Mid-American","East","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png"
"24","Alabama","C",0.0349422713262644,0.132,0.0970577286737357,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"25","Alabama","CB",0.26218570517332,5.604,5.34181429482668,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"26","Alabama","DI",0.235678887623224,4.127,3.89132111237678,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"27","Alabama","ED",0.192791658162744,1.831,1.63820834183726,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"28","Alabama","G",0.144939094228147,0.279,0.134060905771853,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"29","Alabama","HB",0.176286854382905,3.533,3.3567131456171,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"30","Alabama","LB",0.300585377811196,4.33,4.0294146221888,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"31","Alabama","QB",0.150285897416887,7.21,7.05971410258311,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"32","Alabama","S",0.158976760399904,3.343,3.1840232396001,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"33","Alabama","T",0.19912994973511,1.629,1.42987005026489,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"34","Alabama","TE",0.0884846105233175,0.434,0.345515389476682,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"35","Alabama","WR",0.454260111714047,7.978,7.52373988828595,333,"Alabama","Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png"
"36","Appalachian State","C",0.017920749920457,0.412,0.394079250079543,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
"37","Appalachian State","CB",0.11803450855975,2.704,2.58596549144025,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
"38","Appalachian State","DI",0.0522662700068955,0.164,0.111733729993104,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
"39","Appalachian State","ED",0.0790166531916768,0.058,-0.0210166531916767,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
"40","Appalachian State","G",0.0321825848273881,0.195,0.162817415172612,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
"41","Appalachian State","HB",0.0658398782070767,0.015,-0.0508398782070767,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
"42","Appalachian State","LB",0.153557725681328,0.836,0.682442274318671,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
"43","Appalachian State","QB",0.0452840999255607,1.526,1.48071590007444,2026,"Appalachian State","Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png","http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png"
